Timestamp,Model,Sigma,Degree,Tau,Chunk,LR,Epochs,FinalLoss,RMSE_Theta,RMSE_Omega,RMSE_Total,Equation_Theta,Equation_Omega
20260223_221932,integrator,5.0,2,1.0e-05,0,0.001,10000,16763198.0000,nan,nan,nan,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
20260223_222114,integrator,5.0,2,1.0e-05,5,0.001,10000,6719790.5000,nan,nan,nan,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
20260223_222313,integrator,5.0,2,1.0e-05,0,0.01,10000,16776402.0000,nan,nan,nan,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
20260223_223413,integrator,5.0,2,1.0e-01,0,0.0001,10000,16761657.0000,nan,nan,nan,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
20260223_223518,integrator,5.0,3,1.0e-25,0,0.0001,10000,6131752223656546140160.0000,nan,nan,nan,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
20260223_224035,integrator,5.0,3,1.0e-25,0,0.0001,10000,6131752223656546140160.0000,8.744168,0.225551,6.185117,1.00000omega,0.000001 + -0.00000theta + 0.00000omega + 0.00000theta^2 + -0.00000theta omega + -0.00000omega^2 + -0.00000theta^3 + -0.00000theta^2 omega + 0.00000theta omega^2 + 0.00000omega^3
20260223_224238,integrator,5.0,3,1.0e-25,0,0.01,10000,6131752223656546140160.0000,9.552173,0.131923,6.755050,1.00000omega,-0.000001 + -0.00000theta + -0.00000omega + 0.00000theta^2 + -0.00000theta omega + 0.00000omega^2 + -0.00000theta^3 + 0.00000theta^2 omega + -0.00000theta omega^2 + -0.00000omega^3
20260223_224555,integrator,5.0,3,1.0e-02,0,0.01,5000,7.2020,0.058145,0.006197,0.041347,1.00000omega,-0.038811 + -0.02269theta + -0.00069omega + -0.10379theta^2 + 0.01938theta omega + -0.00144omega^2 + -0.02440theta^3 + 0.00545theta^2 omega + 0.00619theta omega^2 + -0.06595omega^3
20260223_230313,integrator,5.0,3,1.0e-01,0,0.01,5000,-3.2570,0.039618,0.002296,0.028061,1.00000omega,-0.013181 + 0.00073theta + -0.00246omega + -0.06977theta^2 + 0.00042theta omega + -0.00299omega^2 + -0.05023theta^3 + 0.09397theta^2 omega + -0.00079theta omega^2 + -0.11100omega^3
20260225_100002,integrator,60.0,2,1.0e-01,50,0.001,5000,26.1744,0.050414,0.002505,0.035692,1.00000omega,-0.055171 + -0.01211theta + -0.01250omega + -0.00092theta^2 + -0.00295theta omega + -0.00206omega^2
20260225_100248,integrator,60.0,2,1.0e-01,50,0.001,5000,333.2759,0.292472,0.001897,0.206813,1.00000omega,-0.034611 + -0.00912theta + -0.01961omega + -0.00097theta^2 + -0.00260theta omega + -0.00337omega^2
20260225_100601,integrator,60.0,2,1.0e-01,50,0.001,5000,401.1960,0.327755,0.001114,0.231759,1.00000omega,-0.038331 + -0.01447theta + -0.00851omega + -0.00036theta^2 + -0.00166theta omega + -0.00070omega^2
